run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,15,0.376215,83.0642,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,16,0.393895,79.3359,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,17,0.377097,82.8699,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,18,0.379663,82.3098,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,19,0.375412,83.2419,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,20,0.380986,82.0240,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,21,0.375213,83.2860,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,22,0.378660,82.5279,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,23,0.378139,82.6416,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,24,0.377377,82.8084,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,0,0.438756,71.2241,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,1,0.396380,78.8385,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,2,0.396500,78.8146,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,3,0.399588,78.2056,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,4,0.391209,79.8806,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,5,0.394176,79.2793,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,6,0.389244,80.2838,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
