row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
68,1778532409.484816,gfx942,dcc_disabled,RELAXED,64,64,17,23.6938,1.6957,0.1729,0,0,4096,2369,ok
69,1778532409.4857109,gfx942,dcc_disabled,RELAXED,64,64,18,23.0543,1.2919,0.1777,0,0,4096,2305,ok
70,1778532409.4865997,gfx942,dcc_disabled,RELAXED,64,64,19,23.6317,2.2798,0.1733,0,0,4096,2363,ok
71,1778532409.4875019,gfx942,dcc_disabled,RELAXED,64,64,20,23.8220,2.1709,0.1719,0,0,4096,2382,ok
72,1778532409.4884079,gfx942,dcc_disabled,RELAXED,64,64,21,23.3970,2.1951,0.1751,0,0,4096,2339,ok
73,1778532409.4893222,gfx942,dcc_disabled,RELAXED,64,64,22,23.8461,1.7706,0.1718,0,0,4096,2384,ok
74,1778532409.490242,gfx942,dcc_disabled,RELAXED,64,64,23,23.0021,1.8325,0.1781,0,0,4096,2300,ok
75,1778532409.4911463,gfx942,dcc_disabled,RELAXED,64,64,24,23.3650,1.5757,0.1753,0,0,4096,2336,ok
76,1778532409.4920382,gfx942,dcc_disabled,RELAXED,64,128,0,23.3148,1.6192,0.3514,0,0,8192,2331,ok
77,1778532409.492939,gfx942,dcc_disabled,RELAXED,64,128,1,23.2609,0.9629,0.3522,0,0,8192,2326,ok
78,1778532409.4938395,gfx942,dcc_disabled,RELAXED,64,128,2,23.6778,1.9401,0.3460,0,0,8192,2367,ok
79,1778532409.4947445,gfx942,dcc_disabled,RELAXED,64,128,3,23.1466,1.2725,0.3539,0,0,8192,2314,ok
80,1778532409.495627,gfx942,dcc_disabled,RELAXED,64,128,4,23.4854,1.9243,0.3488,0,0,8192,2348,ok
81,1778532409.49651,gfx942,dcc_disabled,RELAXED,64,128,5,22.5913,1.7737,0.3626,0,0,8192,2259,ok
82,1778532409.4973962,gfx942,dcc_disabled,RELAXED,64,128,6,23.8862,1.9434,0.3430,0,0,8192,2388,ok
83,1778532409.4983475,gfx942,dcc_disabled,RELAXED,64,128,7,23.5273,2.4198,0.3482,0,0,8192,2352,ok
84,1778532409.4992652,gfx942,dcc_disabled,RELAXED,64,128,8,22.5391,1.8519,0.3635,0,0,8192,2253,ok
85,1778532409.5001445,gfx942,dcc_disabled,RELAXED,64,128,9,22.8717,1.9430,0.3582,0,0,8192,2287,ok
86,1778532409.5010276,gfx942,dcc_disabled,RELAXED,64,128,10,22.9700,1.8484,0.3566,0,0,8192,2297,ok
87,1778532409.5019162,gfx942,dcc_disabled,RELAXED,64,128,11,23.0663,1.5548,0.3552,0,0,8192,2306,ok
88,1778532409.5028107,gfx942,dcc_disabled,RELAXED,64,128,12,23.1604,1.8666,0.3537,0,0,8192,2316,ok
89,1778532409.503709,gfx942,dcc_disabled,RELAXED,64,128,13,22.9662,1.8389,0.3567,0,0,8192,2296,ok
90,1778532409.5046039,gfx942,dcc_disabled,RELAXED,64,128,14,22.7394,2.2943,0.3603,0,0,8192,2273,ok
91,1778532409.505491,gfx942,dcc_disabled,RELAXED,64,128,15,23.2929,2.1535,0.3517,0,0,8192,2329,ok
92,1778532409.5063808,gfx942,dcc_disabled,RELAXED,64,128,16,23.3530,1.6030,0.3508,0,0,8192,2335,ok
93,1778532409.5072944,gfx942,dcc_disabled,RELAXED,64,128,17,22.8038,1.7923,0.3592,0,0,8192,2280,ok
94,1778532409.5081897,gfx942,dcc_disabled,RELAXED,64,128,18,23.5052,1.7891,0.3485,0,0,8192,2350,ok
95,1778532409.5091,gfx942,dcc_disabled,RELAXED,64,128,19,23.1486,1.5530,0.3539,0,0,8192,2314,ok
96,1778532409.5100014,gfx942,dcc_disabled,RELAXED,64,128,20,23.0202,1.8583,0.3559,0,0,8192,2302,ok
97,1778532409.5108972,gfx942,dcc_disabled,RELAXED,64,128,21,23.2828,2.2025,0.3518,0,0,8192,2328,ok
98,1778532409.5117924,gfx942,dcc_disabled,RELAXED,64,128,22,22.8877,1.2448,0.3579,0,0,8192,2288,ok
99,1778532409.5126767,gfx942,dcc_disabled,RELAXED,64,128,23,23.0301,2.5727,0.3557,0,0,8192,2303,ok
100,1778532409.5135684,gfx942,dcc_disabled,RELAXED,64,128,24,22.8339,2.0003,0.3588,0,0,8192,2283,ok
101,1778532409.5144515,gfx942,dcc_disabled,RELAXED,128,16,0,24.4594,3.5749,0.0837,0,0,2048,2445,ok
102,1778532409.517019,gfx942,dcc_disabled,RELAXED,128,16,1,23.2888,1.6882,0.0879,0,0,2048,2328,ok
103,1778532409.5180106,gfx942,dcc_disabled,RELAXED,128,16,2,23.0383,1.4936,0.0889,0,0,2048,2303,ok
104,1778532409.5189285,gfx942,dcc_disabled,RELAXED,128,16,3,23.1725,1.3604,0.0884,0,0,2048,2317,ok
105,1778532409.5198367,gfx942,dcc_disabled,RELAXED,128,16,4,23.0382,1.7809,0.0889,0,0,2048,2303,ok
