corpus_version,focal,interferer,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,P3,__none__,4,4,32,131,39.0080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,132,40.0110,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,133,38.8490,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,134,39.6100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,135,39.2890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,136,39.8510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,137,39.5700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,138,39.7300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,139,38.3670,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,140,39.9300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,141,38.3670,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,142,39.9700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,143,38.8880,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,144,39.6090,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,145,38.4470,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,146,39.8100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,147,38.8480,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,148,39.8500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,149,38.7680,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,150,39.9710,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,151,39.3290,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,152,40.2110,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,153,38.9280,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,154,39.4900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,155,45.1020,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,156,39.8510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,157,38.1260,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,158,39.6900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,159,38.7280,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,160,40.2520,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,161,38.9280,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,162,39.4900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,163,38.6880,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,164,39.7300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,165,38.6080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,166,39.7300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,167,39.1280,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,168,39.8500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,169,38.8080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,170,39.8900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,171,39.0080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,172,40.0920,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,173,39.1690,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,174,39.6500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,175,38.4070,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,176,40.1710,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,177,43.8990,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,178,39.8110,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,179,38.4880,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,180,39.4500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,181,38.4470,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,182,39.4890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,183,39.5690,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,184,39.8500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,185,38.6070,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,186,39.8110,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,187,39.0890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,188,39.8100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,189,38.9280,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,190,40.0110,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,191,39.3690,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,192,40.4520,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,193,38.2470,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,194,39.8100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,195,38.4470,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,196,40.0100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,197,38.3670,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,198,39.5700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
