corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc
v45,P3,1,2,128,5,178.8349,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,6,171.7329,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,7,164.8460,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,8,168.5380,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,9,176.0619,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,10,171.1010,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,11,167.5291,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,12,168.6241,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,13,169.1212,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,14,171.2390,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,15,166.5249,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,16,170.0409,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,17,168.6299,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,18,171.6129,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,19,165.0350,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,20,174.4290,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,21,169.3040,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,22,165.1570,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,23,165.4881,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,24,170.1459,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,3,8,0,34.0440,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,1,31.9881,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,2,31.4591,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,3,30.0931,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,4,30.3520,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,5,30.3951,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,6,29.6219,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,7,29.0780,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,8,28.8540,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,9,47.7210,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,10,28.6349,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,11,29.1320,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,12,29.1669,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,13,30.2859,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,14,29.1150,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,15,30.0901,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,16,28.7790,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,17,30.9749,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,18,29.5038,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,19,29.6040,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,20,28.6640,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,21,28.7399,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,22,29.7490,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,23,29.6698,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,8,24,30.0170,gfx942,b21u01,2026-05-11T06:04:26.684046+00:00
v45,P3,1,3,16,0,43.5701,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,1,41.6581,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,2,38.5600,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,3,38.9740,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,4,38.8781,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,5,38.7281,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,6,37.9630,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,7,38.2699,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,8,38.5051,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,9,38.2690,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,10,37.4438,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,11,38.5691,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,12,37.6620,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,13,38.4180,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,14,37.7828,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,15,37.5540,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,16,38.4380,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,17,37.8289,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,18,38.3100,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,19,38.7230,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,20,38.6080,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,21,38.9670,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,22,39.1118,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,23,38.8820,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,16,24,39.0662,gfx942,b21u01,2026-05-11T06:04:26.729693+00:00
v45,P3,1,3,32,0,67.7241,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,1,61.1381,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,2,57.6121,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,3,58.3138,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,4,57.1380,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,5,59.0670,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,6,56.5469,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,7,57.5150,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,8,58.2680,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,9,57.4391,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,10,57.6540,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,11,57.1231,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
