corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,M3,4,4,32,71,37.5250,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,72,40.6930,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,73,40.5720,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,74,40.3310,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,75,35.3600,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,76,36.2020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,77,36.1220,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,78,36.3230,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,79,35.8810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,80,35.4000,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,81,36.4430,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,82,36.2820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,83,36.8840,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,84,38.0060,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,85,42.3360,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,86,36.8040,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,87,36.0820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,88,37.1640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,89,35.9620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,90,35.6410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,91,38.1270,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,92,34.9190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,93,35.3200,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,94,34.9190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,95,35.8020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,96,34.9190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,97,34.5590,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,98,36.4830,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,99,36.7240,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,100,35.6410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,101,35.7210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,102,36.3230,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,103,36.4430,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,104,36.5630,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,105,34.5580,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,106,36.2020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,107,35.8410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,108,36.6830,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,109,40.7330,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,110,38.8480,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,111,37.6460,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,112,34.0770,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,113,34.7190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,114,36.5640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,115,35.4800,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,116,36.7640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,117,35.7220,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,118,36.7640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
