duty_pct,op_class,cell,median,p99,std,count,p99_p50
25,CAS_ACQREL,16x256,0.1380441535729915,0.13895026582758874,0.00035219134149020294,25,1.0065639306782965
25,CAS_ACQREL,16x64,0.13867553207091987,0.1397661690134555,0.0004661809230962879,25,1.0078646674452842
25,CAS_ACQREL,32x256,0.07503370579797775,0.07589036977151409,0.0004301965756349623,25,1.0114170553676616
25,CAS_ACQREL,4x256,0.5490444600582123,0.5529166851192713,0.0026812148741024735,25,1.0070526621116411
25,CAS_ACQREL,4x64,0.55364501895383,0.5565677559934556,0.0025143126313297614,25,1.0052790812516448
25,CAS_ACQREL,64x256,0.04461096250452101,0.0449404027312994,0.0002448585523320268,25,1.0073847370306122
25,FADD_RELEASE,16x256,0.07696011016378179,0.07723566930508241,0.00019184724418663763,25,1.0035805450474822
25,FADD_RELEASE,16x64,0.07785327034071088,0.07823654945241287,0.00031073712180948763,25,1.0049230958445887
25,FADD_RELEASE,32x256,0.03897006172337569,0.039056793466443196,4.178830826220538e-05,25,1.0022255993250193
25,FADD_RELEASE,4x256,0.3068077494390309,0.3085108043160289,0.0007940441936518616,25,1.0055508861171594
25,FADD_RELEASE,4x64,0.31082567875273526,0.31406960799358785,0.0027931440118067934,25,1.0104364904916148
25,FADD_RELEASE,64x256,0.023944046915858053,0.0240972351457458,9.955759245067186e-05,25,1.0063977585086625
25,MAX_ACQREL,16x256,0.1379817840643227,0.13911751506384462,0.0004929344265755885,25,1.0082310212701153
25,MAX_ACQREL,16x64,0.13876843149773777,0.1394608465489,0.00034981751815180455,25,1.0049897159151326
25,MAX_ACQREL,32x256,0.07540320075349882,0.07584546809084713,0.0004315845393053098,25,1.0058653655670948
25,MAX_ACQREL,4x256,0.5514083313755691,0.554829821921885,0.0024976517174318995,25,1.006205003355282
25,MAX_ACQREL,4x64,0.5527441389858723,0.5606223060749471,0.004070428691751936,25,1.014252827906107
25,MAX_ACQREL,64x256,0.04465653910301626,0.044984994892729446,0.00022004909239510794,25,1.0073551555116147
25,XCHG_ACQREL,16x256,0.1390706456732005,0.13976586458738893,0.0003781296274546554,25,1.0049990342018122
25,XCHG_ACQREL,16x64,0.15015173994470388,0.15109195257537067,0.0003988260397535408,25,1.006261749820635
25,XCHG_ACQREL,32x256,0.07574638584628701,0.07615356065798551,0.00034714829144314634,25,1.0053755015127028
25,XCHG_ACQREL,4x256,0.5539433332160115,0.5578291229903698,0.0036685277410871656,25,1.0070147784824823
25,XCHG_ACQREL,4x64,0.5994721432216464,0.6027905526570976,0.0031035158358260484,25,1.0055355523571414
25,XCHG_ACQREL,64x256,0.04482507210923359,0.04545166462776251,0.00027198613483141073,25,1.0139786170784508
50,CAS_ACQREL,16x256,0.06998864409979433,0.07099189446307719,0.0004483195929869198,25,1.0143344734876183
50,CAS_ACQREL,16x64,0.07080590876284987,0.07142257643863559,0.00043689998832715707,25,1.0087092685703833
50,CAS_ACQREL,32x256,0.04110566806048155,0.041654337401269004,0.0003238073774822977,25,1.0133477782183264
50,CAS_ACQREL,4x256,0.2776788314804435,0.2805549732875079,0.0029872015302009622,25,1.0103578000228908
50,CAS_ACQREL,4x64,0.2821079106070101,0.2880806755274534,0.0032516562128284236,25,1.0211719157665295
50,CAS_ACQREL,64x256,0.027554566258913837,0.027978958387393504,0.00018910549811847492,25,1.015401880199888
50,FADD_RELEASE,16x256,0.039373200706904754,0.03967515716794878,0.00018991147192977512,25,1.0076690859676813
50,FADD_RELEASE,16x64,0.04004724178230389,0.04059468366904184,0.0003232134794619776,25,1.013669902404611
50,FADD_RELEASE,32x256,0.020115418010391295,0.020235959818819538,6.509847061429137e-05,25,1.0059925082524248
50,FADD_RELEASE,4x256,0.1564698468428105,0.15754836203996092,0.0007040147983140867,25,1.0068927989571939
50,FADD_RELEASE,4x64,0.15889745554886758,0.1613656018162146,0.002681745179439869,25,1.015532950221396
50,FADD_RELEASE,64x256,0.014565055607818067,0.014625787080149165,3.114024491192475e-05,25,1.0041696697881812
50,MAX_ACQREL,16x256,0.06996658339630812,0.07082959316903725,0.0003756200188059984,25,1.0123345993306665
50,MAX_ACQREL,16x64,0.07060046482365578,0.07129356323275715,0.00048631228150355433,25,1.00981719328382
50,MAX_ACQREL,32x256,0.04108975190320052,0.041807915695244446,0.0003075221937336075,25,1.0174779296242962
