ordering_class,prod_num_warps,cons_num_warps,n_workgroups,block_size,buffer_bytes,rep,ms,node,ts
CAS_ACQREL,4,8,304,256,2097152,4,0.08222699910402298,c09u13,1778503354.0176628
CAS_ACQREL,4,8,304,256,2097152,5,0.08146499842405319,c09u13,1778503354.0176632
CAS_ACQREL,4,8,304,256,2097152,6,0.07982199639081955,c09u13,1778503354.017664
CAS_ACQREL,4,8,304,256,2097152,7,0.08074399828910828,c09u13,1778503354.0176647
CAS_ACQREL,4,8,304,256,2097152,8,0.08154600113630295,c09u13,1778503354.0176656
CAS_ACQREL,4,8,304,256,2097152,9,0.0823879987001419,c09u13,1778503354.0176663
CAS_ACQREL,4,8,304,256,2097152,10,0.08587600290775299,c09u13,1778503354.0176668
CAS_ACQREL,4,8,304,256,2097152,11,0.08098399639129639,c09u13,1778503354.0176675
CAS_ACQREL,4,8,304,256,2097152,12,0.08062399923801422,c09u13,1778503354.017668
CAS_ACQREL,4,8,304,256,2097152,13,0.08230800181627274,c09u13,1778503354.0176687
CAS_ACQREL,4,8,304,256,2097152,14,0.08186600357294083,c09u13,1778503354.0176694
CAS_ACQREL,4,8,304,256,2097152,15,0.08062399923801422,c09u13,1778503354.0176702
CAS_ACQREL,4,8,304,256,2097152,16,0.081666000187397,c09u13,1778503354.0176706
CAS_ACQREL,4,8,304,256,2097152,17,0.08102399855852127,c09u13,1778503354.0176713
CAS_ACQREL,4,8,304,256,2097152,18,0.08198700100183487,c09u13,1778503354.0176718
CAS_ACQREL,4,8,304,256,2097152,19,0.08010199666023254,c09u13,1778503354.0176725
CAS_ACQREL,4,8,304,256,2097152,20,0.08182600140571594,c09u13,1778503354.0176733
CAS_ACQREL,4,8,304,256,2097152,21,0.08106499910354614,c09u13,1778503354.0176737
CAS_ACQREL,4,8,304,256,2097152,22,0.0801829993724823,c09u13,1778503354.0176744
CAS_ACQREL,4,8,304,256,2097152,23,0.0821869969367981,c09u13,1778503354.017675
CAS_ACQREL,4,8,304,256,2097152,24,0.0819069966673851,c09u13,1778503354.0176759
FADD_RELEASE,4,8,304,256,2097152,0,0.06827600300312042,c09u13,1778503354.0708966
FADD_RELEASE,4,8,304,256,2097152,1,0.06699299812316895,c09u13,1778503354.0708985
FADD_RELEASE,4,8,304,256,2097152,2,0.06594999879598618,c09u13,1778503354.0708997
FADD_RELEASE,4,8,304,256,2097152,3,0.06663200259208679,c09u13,1778503354.0709004
FADD_RELEASE,4,8,304,256,2097152,4,0.06655199825763702,c09u13,1778503354.070901
FADD_RELEASE,4,8,304,256,2097152,5,0.06827600300312042,c09u13,1778503354.0709019
FADD_RELEASE,4,8,304,256,2097152,6,0.06651099771261215,c09u13,1778503354.0709023
FADD_RELEASE,4,8,304,256,2097152,7,0.06699299812316895,c09u13,1778503354.0709028
FADD_RELEASE,4,8,304,256,2097152,8,0.06575000286102295,c09u13,1778503354.0709035
FADD_RELEASE,4,8,304,256,2097152,9,0.06675300002098083,c09u13,1778503354.070904
FADD_RELEASE,4,8,304,256,2097152,10,0.06683199852705002,c09u13,1778503354.0709047
FADD_RELEASE,4,8,304,256,2097152,11,0.0673540011048317,c09u13,1778503354.0709057
FADD_RELEASE,4,8,304,256,2097152,12,0.07773800194263458,c09u13,1778503354.0709064
FADD_RELEASE,4,8,304,256,2097152,13,0.06679199635982513,c09u13,1778503354.0709069
FADD_RELEASE,4,8,304,256,2097152,14,0.06663099676370621,c09u13,1778503354.0709074
FADD_RELEASE,4,8,304,256,2097152,15,0.067392997443676,c09u13,1778503354.0709078
FADD_RELEASE,4,8,304,256,2097152,16,0.06907700002193451,c09u13,1778503354.0709088
FADD_RELEASE,4,8,304,256,2097152,17,0.06763499975204468,c09u13,1778503354.0709093
FADD_RELEASE,4,8,304,256,2097152,18,0.06843599677085876,c09u13,1778503354.07091
FADD_RELEASE,4,8,304,256,2097152,19,0.06651200354099274,c09u13,1778503354.0709107
FADD_RELEASE,4,8,304,256,2097152,20,0.06727299839258194,c09u13,1778503354.0709114
FADD_RELEASE,4,8,304,256,2097152,21,0.06695199757814407,c09u13,1778503354.0709124
FADD_RELEASE,4,8,304,256,2097152,22,0.06743299961090088,c09u13,1778503354.0709128
FADD_RELEASE,4,8,304,256,2097152,23,0.06731399893760681,c09u13,1778503354.0709133
FADD_RELEASE,4,8,304,256,2097152,24,0.0675939992070198,c09u13,1778503354.070914
